name
AFGHANISTAN
ALBANIA
ALGERIA
ANDORRA
ANGOLA
ANGUILLA
ANTARCTICA
ANTIGUA AND BARBUDA
ALEMANIA
SAUDI ARABIA
ARGENTINA
ARMENIA
ARUBA
AUSTRALIA
AUSTRIA
AZERBAIJAN
BELGIUM
BAHAMAS
BAHRAIN
BANGLADESH
BARBADOS
BELIZE
BENIN
BHUTAN
BELARUS
MYANMAR
BOLIVIA
BOSNIA AND HERZEGOVINA
BOTSWANA
BRAZIL
BRUNEI
BULGARIA
BURKINA FASO
BURUNDI
CAPE VERDE
CAMBODIA
CAMEROON
CANADA
CHAD
CHILE
CHINA
CYPRUS
VATICAN CITY STATE
COLOMBIA
COMOROS
CONGO
NORTH KOREA
SOUTH KOREA
IVORY COAST
COSTA RICA
CROATIA
CUBA
DENMARK
DOMINICA
ECUADOR
EGYPT
EL SALVADOR
UNITED ARAB EMIRATES
ERITREA
SLOVAKIA
SLOVENIA
SPAIN
UNITED STATES OF AMERICA
ESTONIA
ETHIOPIA
PHILIPPINES
FINLAND
FIJI
FRANCE
GABON
GAMBIA
GEORGIA
GHANA
GIBRALTAR
GRENADA
GREECE
GREENLAND
GUADELOUPE
GUAM
GUATEMALA
FRENCH GUIANA
GUERNSEY
GUINEA
EQUATORIAL GUINEA
GUINEA-BISSAU
GUYANA
HAITI
HONDURAS
HONG KONG
HUNGARY
INDIA
INDONESIA
IRAN
IRAQ
IRELAND
BOUVET ISLAND
ISLE OF MAN
CHRISTMAS ISLAND
NORFOLK ISLAND
ICELAND
BERMUDA ISLANDS
CAYMAN ISLANDS
COCOS (KEELING) ISLANDS
COOK ISLANDS
FAROE ISLANDS
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS
HEARD ISLAND AND MCDONALD ISLANDS
MALDIVES
FALKLAND ISLANDS (MALVINAS)
NORTHERN MARIANA ISLANDS
MARSHALL ISLANDS
PITCAIRN ISLANDS
SOLOMON ISLANDS
TURKS AND CAICOS ISLANDS
UNITED STATES MINOR OUTLYING ISLANDS
VIRGIN ISLANDS
UNITED STATES VIRGIN ISLANDS
ISRAEL
ITALY
JAMAICA
JAPAN
JERSEY
JORDAN
KAZAKHSTAN
KENYA
KYRGYZSTAN
KIRIBATI
KUWAIT
LEBANON
LAOS
LESOTHO
LATVIA
LIBERIA
LIBYA
LIECHTENSTEIN
LITHUANIA
LUXEMBOURG
MEXICO
MONACO
MACAO
MACEDONIA
MADAGASCAR
MALAYSIA
MALAWI
MALI
MALTA
MOROCCO
MARTINIQUE
MAURITIUS
MAURITANIA
MAYOTTE
ESTADOS FEDERADOS DE
MOLDOVA
MONGOLIA
MONTENEGRO
MONTSERRAT
MOZAMBIQUE
NAMIBIA
NAURU
NEPAL
NICARAGUA
NIGER
NIGERIA
NIUE
NORWAY
NEW CALEDONIA
NEW ZEALAND
OMAN
NETHERLANDS
PAKISTAN
PALAU
PALESTINE
PANAMA
PAPUA NEW GUINEA
PARAGUAY
PERU
FRENCH POLYNESIA
POLAND
PORTUGAL
PUERTO RICO
QATAR
UNITED KINGDOM
CENTRAL AFRICAN REPUBLIC
CZECH REPUBLIC
DOMINICAN REPUBLIC
RWANDA
ROMANIA
RUSSIA
WESTERN SAHARA
SAMOA
AMERICAN SAMOA
SAINT KITTS AND NEVIS
SAN MARINO
SAINT MARTIN (FRENCH PART)
SAINT PIERRE AND MIQUELON
SAINT VINCENT AND THE GRENADINES
SAINT LUCIA
SAO TOME AND PRINCIPE
SENEGAL
SERBIA
SEYCHELLES
SIERRA LEONE
SINGAPORE
SYRIA
SOMALIA
SRI LANKA
SOUTH AFRICA
SUDAN
SWEDEN
SWITZERLAND
SURINAME
SVALBARD AND JAN MAYEN
SWAZILAND
TAJIKISTAN
THAILAND
TAIWAN
TANZANIA
BRITISH INDIAN OCEAN TERRITORY
FRENCH SOUTHERN TERRITORIES
EAST TIMOR
TOGO
TOKELAU
TONGA
TRINIDAD AND TOBAGO
TUNISIA
TURKMENISTAN
TURKEY
TUVALU
UKRAINE
UGANDA
URUGUAY
UZBEKISTAN
VANUATU
VENEZUELA
VIETNAM
WALLIS AND FUTUNA
YEMEN
DJIBOUTI
ZAMBIA
ZIMBABWE
