product_code;price
7794870000330;26.45
7790127000665;12.63
7791120031564;10.79
7790070415608;10.3
7790203000336;20.4
7790580982102;12.66
7790580402907;23.18
7790170904767;45.99
7794000597723;20.23
7790216463081;25.91
7790580980009;20.42
7796373002323;13
7794980909219;10.85
7794980938561;13.99
7791113006395;42.43
7791113006401;46.68
7790150695944;31.97
7790150813188;65.31
7790580110635;13.69
7798198900013;8.64
7792590000159;13.73
7798198900020;10.54
7798198900037;11.58
7790036007717;15.43
7790216468277;30.99
7792378002238;56.01
7792378002221;32.76
7792350004571;18.62
7793360674105;22.45
7793046008415;24.62
7790580511302;34.03
7796373291000;22.99
7796373000497;56
7796373002385;19.99
7796989010293;34.66
7793890251081;34.56
7793890250992;31.32
7792180004758;42.14
7792590003198;43.98
7798004720088;12.53
7791113004384;60.74
7791113004353;60.74
7790580626419;26.77
7622300871802;12.34
7790036321127;10.15
7790036008875;7.71
7790036008868;12.48
7796373001425;39.99
7796373001432;39.99
7796373001449;39.99
7796373001456;39.99
7792900092683;9.53
7792900009124;65.78
7790216467386;25.91
7796373182100;23
7796373002712;49
7796373002934;44
7793360927508;16.85
7790216471000;27
7790480000456;20.51
7792378000814;14.72
7792378000869;15.18
7790036245324;28.38
7790036246321;37.42
7790387014167;32.15
7792710000243;64.59
7792710000014;57.15
7790411000210;29.34
7790480089390;56.92
7790480089383;31.13
7790411000814;32.11
7790411001545;60.65
7790387013511;62.64
7790411000807;73.02
7790070506696;29.8
7790802000164;64.59
7790639001976;25.89
7790639001662;19.81
7790639001365;25.89
7791813421412;29.48
7792798000852;25.65
7790036004471;17.11
7791813421054;29.2
7790895064173;28.63
7790580984717;3.25
7793360106033;25.76
7798125810439;15.87
7798125810446;15.87
7798125810385;15.87
7798125810347;15.87
7798125810422;15.87
7798125810354;15.87
7798125810361;15.87
7798125810521;15.87
7790263110853;13.53
7790263110914;13.53
7798125810408;8.11
7798125810415;8.11
7798125810583;28.09
7798125810590;28.09
7798125810576;28.09
7622300829629;23.5
7790040174801;9.4
7790040177505;20.5
7798060852143;53.77
7790787087334;11.19
7790787087341;11.19
7790036948348;25.69
7790036005324;7
7790036948317;21.59
7794710010017;26.13
7798060852167;43.7
7790080040890;10.05
7790080040876;10.05
7791337011311;67.82
7791337011304;69.56
7794990866175;139.32
7794990866144;139.32
7794990872206;139.32
7798099130045;45.71
7798099130014;84.59
7794990866212;156.6
7794990866182;156.6
7794990871391;156.6
7794710070103;30.89
7790080067910;25.04
7791337965720;10
7791337999794;10
7791337965713;10
7790080065312;28.74
7790080065299;28.74
7790080065305;28.74
7790787104772;19.08
7791337096080;10
7791337960855;10
7791337960817;10
7501015210512;33.48
7792700002479;15.98
7798184715782;10
7798000089165;13.99
7795513044780;10.2
4012700962522;4.32
70330139503;29.85
70330176539;29.85
7795513044773;10.2
4012700962539;4.32
7795513043431;6.97
7795513043448;6.97
4012700962546;4.32
4012700301178;26.78
7795513043592;8.62
7798314120851;8.98
7791110001874;11.57
7792180004963;11
